sourcePage,category,application,cataloguePartNumber,mrp,sellingPrice,stock,firm,validationStatus,reviewReasons
"13","Water Pump Assemblies","GREAVES CONCRETE MIXER CIFA","M-547","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","PERKINS P6 / 354 / FARGO MODEL DODGE ROCKET","M-518","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","TATA HITACHI 6 CT CUMMINS ENG.","M-845 J","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","MAHINDRA JCB","M-839 J","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","SIMPSON S-4 LOW POSITION / ESCORT CRANE","M-649","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","BEDFORD J6 DEISEL ENGINE","M-516","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","BEDFORD J6 DOUBLE GROOVE PULLEY","M-537","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","QHL / SIMPSON P4 LOW POSITION","M-519","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","S4099237 S-4 HIGH POSITION","M-545","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","JCB 40","M-556","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"13","Water Pump Assemblies","VOLVO EXCAVATOR 110 / 210","M 557","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 410 / TATA 4SP EURO III","M-665","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 407 / 608 TURBO MODEL / TATA 4 SP / SAFARI DECOR 3.0","M-650 / M-603 A","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA ULTRA LIGHT TRUCK","M-522","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 207 DI BS IV / SUMO VICTA GOLD","M-664","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","WITH HUB EICHER CANTER","M-607","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 407 EURO-III HEAVY DUTY SUMO VICTA GOLD","M-664 A","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","EICHER CANTER MINI","M-658","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 407 EURO-III SUMO VICTA GOLD","M-664 B","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","EICHER CANTER BIG LATEST MODEL","M-671","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 407 EURO 4 / TATA ULTRA BS4","M-664 C","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","BASE PLATE TWO PIPES IN CASTING ONLY EICHER CANTER BIG LATEST MODEL","M-671 C","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"14","Water Pump Assemblies","TATA 407 / 608","M-603","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","EICHER CANTER 3014 / 3015 / 3016 / 1116 / 1114 PRO","M-657 C","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","WITH BIG C.I HOUSING 4 THREADED HOLES ) EICHER CANTER BIG LATEST MODEL","M-671 A","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","EICHER CANTER MINI LATEST MODEL 11.10 PRO","M-671 B","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","EICHER JUMBO GALAXY 20.16","M-657","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","EICHER JUMBO 20.5 BUS TYPE","M-657 A","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","EICHER CANTER LATEST MODEL","M-657 B","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","BIGGER PROFILE ) EICHER CANTER BIG LATEST MODEL","M-657 E","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","WITH S.G IRON PULLEY & ALUMINIUM HOUSING EICHER NEW MODEL","M-657 D","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","WITH ALUMINIUM HOUSING WITHOUT PULLEY EICHER NEW MODEL","M-657 F","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","56051 510A / 1610056050E DCM TOYOTA","M-604","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","ALLWIN NISSAN","M-605","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"15","Water Pump Assemblies","WITH 4 THREADED HOLES & 4 PLAIN HOLES ) EICHER CANTER N / M","M 671 D","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
"16","Water Pump Assemblies","MAZDA PN-11","M-642","","","0","India Sales","READY_FOR_REVIEW","photo_catalogue_text_extract|mrp_not_safely_paired|no_stock_in_photo_catalogue"
