sourcePage,category,section,application,cataloguePartNumber,referenceNo,mrp,validationStatus,imageStatus
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1312 / 1510 / 1612 O/M ( 697 ENG. )","M-505 / M-855","2525 2010 0116","4950","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1312 / 1510 / 1612 O/M ( 697 ENG. ) WITHOUT BASE PLATE","M-505 H / M-855 H","2525 2010 0116","4223","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1312 / 1510 / 1612 O/M ( 697 ENG. ) WITH SMALL BASE PLATE","M-536 / M-856","2525 2010 0121","4689","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 909 / 1313 FLANGE TYPE WITH BIG BASE PLATE","M-540","2525 2010 0103 / 0105","5384","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 EURO-II ENGINE","M-514 / M-854","2525 2010 0124","4989","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 EURO-II ENGINE WITHOUT BASE PLATE","M-514 H / M-854 H","2525 2010 0124","4409","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 EURO-II ENGINE WITH SMALL BASE PLATE","M-548 / M-848","2525 2010 0125","4809","READY","CROPPED_FROM_PAGE_RENDER"
"6","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA EURO-II HEAVY DUTY PUMP ( LATEST DESIGN - BETTER PERFORMANCE )","M-514 A / M-854 A","2525 2010 0145","5046","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1210","M-501 / M-851","2523 2010 0103 / 113 / 114","4035","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 609 / 709 LPT","M-504","2527 2010 0104","5550","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 609 / 709 LPT WITHOUT BASE PLATE","M-504 H","2527 2010 0104","4332","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 TURBO EURO-III ENGINE / TATA 697 BS III","M-517 / M-857","2525 2010 0126","5392","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 TURBO EURO-III ENGINE WITHOUT BASE PLATE","M-517 H / M-857 H","2525 2010 0126","4735","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 1613 / 1614 / 1109 / 2515 TURBO EURO-III ENGINE WITH SMALL BASE PLATE","M-549 / M-849","2525 20 100126 / 125","5105","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA EURO-III HEAVY DUTY PUMP ( LATEST DESIGN - BETTER PERFORMANCE )","M-517 A / M-857 A","2525 2010 0141","5369","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 497 / 697 / 909 / 1109 EURO-IV FLANGE TYPE WITH ALUM. PIPE","M-520 / M-870","2525 2010 0150 / 2525 2010 0166","5677","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 709 / 909 / 1109 EURO 4 ( HEAVY DUTY PUMP )","M-520 A","","7553","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA LPT 2516 / BS-II TC TURBO / 1512 CUMMINS ( SHEET METAL IMP. )","M-535 / M-845","392 8396 / 2786 2099 9959","2329","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 4923 / BS-III TC N/M / CUMMINS ENG. ( IND. PLASTIC IMPELLER )","M-534 / M-845 A","392 8396 / 2786 2099 9972 / 278620990153","2329","READY","CROPPED_FROM_PAGE_RENDER"
"7","Water Pump Assemblies","HEAVY TRUCKS AND BUSES ( H.C.V. )","TATA 2528 PRIMA / CUMMINS BS 4 ( TC LATEST MODEL )","M-845 B","278620990116 / 5444109","2329","READY","CROPPED_FROM_PAGE_RENDER"
