status,partNumber,application,oem,category,subcategory,sourceUrl,officialImageUrl,imageFile,mrp,sellingPrice,stock
READY,M-854,TATA 1612 / 1613 / 1614 / 1109 / 909 / 709 / 2515 TURBO POWER STEERING BS-II 697 TURBO / EURO II ENG.,2525 2010 0124,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-854,https://mekoautoindia.com/image/catalog/product_images/M-854.2.png,M-854.png,,,0
READY,M-854 BIG SINGLE BRG.,TATA 709 / 909 BS-II HEAVY DUTY ORIGINAL GREASE LESS TYPE PUMP WITH BIG INTEGRAL SHAFT BEARING,252520100181,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-854-big-single-brg,https://mekoautoindia.com/image/catalog/product_images/M-854.2.png,M-854_BIG_SINGLE_BRG..png,,,0
READY,M-848,TATA 1613 / 1614 / 1109 / 2515 BS-II ENGINE (WITH SMALL BASE PLATE),2525 2010 0125,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-848,https://mekoautoindia.com/image/catalog/product_images/M-848.2.png,M-848.png,,,0
READY,M-855,TATA 1312 / 1510 / 1612 O/M (697 ENG.),2525 2010 0116,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-855,https://mekoautoindia.com/image/catalog/product_images/M-855.1.png,M-855.png,,,0
READY,M-856,TATA 1312 / 1510 / 1612 O/M (697 ENG.) MERCEDES (WITH SMALL BASE PLATE),2525 2010 0116 | 2525 2010 0121,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-856,https://mekoautoindia.com/image/catalog/product_images/M-856.2.png,M-856.png,,,0
READY,M-857,TATA 1613 / 1614 / 1109 / 2515 / 2525 / 697 BS-III TURBO ENG. (HIGH DISCHARGE PUMP),2525 2010 0130 2525 2010 0126,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-857,https://mekoautoindia.com/image/catalog/product_images/M-857.2.png,M-857.png,,,0
READY,M-857 BIG SINGLE BRG.,TATA 709 / 909 BS-II HEAVY DUTY ORIGINAL GREASE LESS TYPE BIG INTEGRAL SHAFT BEARING (HIGH DISCHARGE PUMP),2525 2010 0141,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-857-big-single-brg,https://mekoautoindia.com/image/catalog/product_images/M-857.2.png,M-857_BIG_SINGLE_BRG..png,,,0
READY,M-520,TATA 1109 BS-IV (FLANGE TYPE WITH ALUM. ADAPTOR) HEAVY DUTY ORIGINAL GREASE LESS TYPE BIG INTEGRAL SHAFT BEARING (IMPELLER DIA: 95 MM),2525 2010 0150 2525 2010 0166,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-520,https://mekoautoindia.com/image/catalog/product_images/M-520.2.png,M-520.png,,,0
READY,M-541,TATA 1109 BS-III / BS-IV HIGH DISCHARGE PUMP (FLANGE TYPE WITH ALUM. ADAPTOR) HEAVY DUTY ORIGINAL GREASE LESS TYPE BIG INTEGRAL SHAFT BEARING (BIGGER IMPELLER DIA: 104 MM) (PULLEY LOCATION DIA: 28 MM),2525 2010 0180,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-541,https://mekoautoindia.com/image/catalog/product_images/M-541.png,M-541.png,,,0
READY,M-525,"TATA 1109 BS4 LPT 1212 CRX 497 CRDI HIGH DISCHARGE PUMP (FLANGE TYPE WITH ALUM. ADAPTOR) HEAVY DUTY ORIGINAL GREASE LESS TYPE BIG INTEGRAL SHAFT BEARING (BIG IMPELLER, DIA 104 MM) (PULLEY LOCATION DIA: 42 MM)",251720100125,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-525,https://mekoautoindia.com/image/catalog/product_images/M-525N.png,M-525.png,,,0
READY,M-526,BHARATBENZ TIPPER TRUCK BS-IV,A904 200 4701 | A904 200 5101,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-526,https://mekoautoindia.com/image/catalog/product_images/M-526.2.png,M-526.png,,,0
READY,M-526 A,MITSUBISHI 4D33 4D34 4D35 4D36 / FUSO CANTER FE FG TRUCK / BHARATBENZ MDT TRUCK (ALUM. HOUSING),ME015217 | ME995424,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-526-a,https://mekoautoindia.com/image/catalog/product_images/M-526A.2.png,M-526_A.png,,,0
READY,M-526 B,BHARATBENZ TIPPER TRUCK BS-VI (WITH AN ADDITIONAL PLUG HOLE IN THE HOUSING),A9262000201,Automotive Water Pump Assemblies,Heavy Trucks And Buses,https://mekoautoindia.com/product/m-526-b,https://mekoautoindia.com/image/catalog/product_images/M-526B.2.png,M-526_B.png,,,0
READY,M-1095,JBM BUS BS-IV CUMMINS ENGINE (WITH HARDENED PULLEY) (Regular Supply O.E. to JBM),5444109 / 5473238 / 2881804 / 5260263,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-1095,https://mekoautoindia.com/image/catalog/product_images/M-1095.png,M-1095.png,,,0
READY,M-1096,JBM BUS BS6 CUMMINS ENGINE (WITH 10 PK PULLEY) (Regular Supply O.E. to JBM),1002023407,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-1096,https://mekoautoindia.com/image/catalog/product_images/M-1096.png,M-1096.png,,,0
READY,M-529,JCB / CUMMINS GENSET / ACE CRANE FX 150 (WITH 4 MTG. HOLE IN BIG BASE PLATE),2527 2012 0211,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-529,https://mekoautoindia.com/image/catalog/product_images/M-529.1.png,M-529.png,,,0
READY,M-529 A,JCB / CUMMINS GENSET (WITH BIG BASE PLATE 5 HOLES),252420100103,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-529-a,https://mekoautoindia.com/image/catalog/product_images/M-529A.2.png,M-529_A.png,,,0
READY,M-529 H,JCB / CUMMINS GENSET / TATA 1210 DESIGN (WITHOUT BASE PLATE),2523 2010 0103 113 / 114,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-529-h,https://mekoautoindia.com/image/catalog/product_images/M-529%20H.png,M-529_H.png,,,0
READY,M-544,CUMMINS ENGINE 125 / 160 / 200 / 250 KV W.P. (WITH TWIN GROOVE PULLEY),3166497,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-544,https://mekoautoindia.com/image/catalog/product_images/M-544.png,M-544.png,,,0
READY,M-551 A / M-1027,CUMMINS ENG. 6CT 6CTA C8.3L (3 HOLE MOUNTING),3966841 / 5402699 3966841,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-551-a-m-1027,https://mekoautoindia.com/image/catalog/product_images/M-551A-M-1027.png,M-551_A_M-1027.png,,,0
READY,M-551 / M-1027 A,CUMMINS 6 CT DEISEL ENG. (OLD MODEL) (3 HOLE MOUNTING),3905357,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-551-m-1027-a,https://mekoautoindia.com/image/catalog/product_images/M-551M-1027A.png,M-551_M-1027_A.png,,,0
READY,M-1026,CUMMINS 6BT DIESEL ENG. (WITH SG IRON GRADED AND HARDENED PULLEY) (S.M. IMPELLER OF GERMAN / AMERICA,3286278 / 3903749 | 3913432 / 3802358,Automotive Water Pump Assemblies,,https://mekoautoindia.com/product/m-1026,https://mekoautoindia.com/image/catalog/product_images/M-1026.2.png,M-1026.png,,,0
READY,M-1028,CUMMINS M11 / ISM DIESEL ENGINE (LONG SHAFT TYPE) (WITHOUT BASE COVER),2882144 / 3068848 | 3073693 / 3800737 | 3803260,Automotive Water Pump Assemblies,D.G. Gensets,https://mekoautoindia.com/product/m-1028,https://mekoautoindia.com/image/catalog/product_images/M-1028.2.png,M-1028.png,,,0
