listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"HCV","TATA MOTORS","TATA 1510-1612, S' CAM AIR BRAKES (160 MM)","MB/NA/SM/1/STD","MB/NA/SM/1","STD","8","3310","1490","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","4"
"HCV","TATA MOTORS","TATA 1510-1612, S' CAM AIR BRAKES (160 MM)","MB/NA/SM/1/1MM","MB/NA/SM/1","1 MM","8","3414","1536","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","5"
"HCV","TATA MOTORS","TATA 1510-1612, S' CAM AIR BRAKES (160 MM)","MB/NA/SM/1/2MM","MB/NA/SM/1","2 MM","8","3466","1560","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","6"
"HCV","TATA MOTORS","TATA 1510-1612 S CAM AIR BRAKES (180 MM)","MB/NA/SM/2/STD","MB/NA/SM/2","STD","8","3466","1560","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","7"
"HCV","TATA MOTORS","TATA 1510-1612 S CAM AIR BRAKES (180 MM)","MB/NA/SM/2/1MM","MB/NA/SM/2","1 MM","8","3520","1584","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","8"
"HCV","TATA MOTORS","TATA 1510-1612 S CAM AIR BRAKES (180 MM)","MB/NA/SM/2/2MM","MB/NA/SM/2","2 MM","8","3624","1631","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","9"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (200 MM )","MB/NA/WTP/1/STD","MB/NA/WTP/1","STD","8","4200","1890","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","10"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (200 MM )","MB/NA/WTP/1/1MM","MB/NA/WTP/1","1 MM","8","4306","1938","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","11"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (200 MM )","MB/NA/WTP/1/2MM","MB/NA/WTP/1","2 MM","8","4410","1985","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","12"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (220 MM )","MB/NA/WTP/2/STD","MB/NA/WTP/2","STD","8","4410","1985","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","13"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (220 MM )","MB/NA/WTP/2/1MM","MB/NA/WTP/2","1 MM","8","4516","2032","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","14"
"HCV","TATA MOTORS","TATA WORLD TRUCK PROGRAMME (220 MM )","MB/NA/WTP/2/2MM","MB/NA/WTP/2","2 MM","8","4620","2079","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","15"
"HCV","TATA MOTORS","TATA PRIMA (200 MM)","MB/NA/PRIMA/STD","MB/NA/PRIMA","STD","8","4254","1914","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","16"
"HCV","TATA MOTORS","TATA PRIMA (200 MM)","MB/NA/PRIMA/1MM","MB/NA/PRIMA","1 MM","8","4410","1985","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","17"
"HCV","TATA MOTORS","TATA PRIMA (200 MM)","MB/NA/PRIMA/2MM","MB/NA/PRIMA","2 MM","8","4516","2032","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","18"
"HCV","TATA MOTORS","TATA BS6","MB/NA/TBS-6/STD","MB/NA/TBS-6","STD","8","4264","1919","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","19"
"HCV","TATA MOTORS","TATA BS6","MB/NA/TBS-6/1MM","MB/NA/TBS-6","1 MM","8","4368","1966","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","20"
"HCV","TATA MOTORS","TATA BS6","MB/NA/TBS-6/2MM","MB/NA/TBS-6","2 MM","8","4474","2013","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","21"
"HCV","ASHOK LEYLAND","LEYLAND COMET 5 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/1&2 (5"")/STD","MB/NA/AL/SM/1&2 (5"")","STD","8","2940","1323","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR HCV.pdf","23"
"HCV","ASHOK LEYLAND","LEYLAND COMET 5 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/1&2 (5"")/1MM","MB/NA/AL/SM/1&2 (5"")","1 MM","8","3046","1371","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","24"
"HCV","ASHOK LEYLAND","LEYLAND COMET 5 INCH (GIRLING BRAKE ASSLY)","MB/NA/AL/SM/1&2 (5"")/2MM","MB/NA/AL/SM/1&2 (5"")","2 MM","8","3150","1418","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR HCV.pdf","25"
