part_number,part_name,source_rate,selling_price,mrp,moq,uom,firm,validation_status
"1371L","DOOR LATCH ASSY. FRONT MANUAL(LH  TATA TIAGO, TIGOR","0","","","1","Pcs","Ambaji Traders","READY"
"1371R","DOOR LATCH ASSY. FRONT MANUAL-RH) TATA TIAGO, TIGO","0","","","1","Pcs","Ambaji Traders","READY"
"1372L","DOOR LATCH ASSY. REAR MANUAL LH  TATA TIAGO, TIGOR","0","","","1","Pcs","Ambaji Traders","READY"
"1887L/R","SEAT RECKLING CAR T-2/BOLERO","0","","","1","Pcs","Ambaji Traders","READY"
"2007","WINDOW REGULATOR HANDLE E-1800,E-1300 929'80","0","","","1","Pcs","Ambaji Traders","READY"
"2046","WINDOW REGULATOR HANDLE (METAL)","0","","","1","Pcs","Ambaji Traders","READY"
"2064","WINDOW REGULATOR HANDLE METAL CHROME NISSAN","0","","","1","Pcs","Ambaji Traders","READY"
"2122","INSIDE DOOR HANDLE MIDDLE GATE TOYOTA HIACE RH-20, LH-80","0","","","1","Pcs","Ambaji Traders","READY"
"2122L","INSIDE DOOR HANDLE MIDDLE GATE TOYOTA HIACE RH-20, LH-80","0","","","1","Pcs","Ambaji Traders","READY"
"2122R","INSIDE DOOR HANDLE MIDDLE GATE TOYOTA HIACE RH-20, LH-80","0","","","1","Pcs","Ambaji Traders","READY"
"2155","BACK DOOR HANDLE LOWER DOOR TOYOTA HILUX","0","","","1","PCS","Ambaji Traders","READY"
"2188","INSIDE DOOR HANDLE  (PLATE ONLY) TOYOTA HILUX RN 55/HIACE YH 50","0","","","1","PCS","Ambaji Traders","READY"
"2192","INSIDE DOOR HANDLE  (WITH OUT PLATE)  TOYOTA HILUX RN 50/ HIACE -84","0","","","1","PCS","Ambaji Traders","READY"
"2262","OUTSIDE DOOR HANDLE TOYOTA HILUX RN-55","0","","","1","PCS","Ambaji Traders","READY"
"2312","WINDOW LOCK TOYOTA HILUX  REAR","0","","","1","PCS","Ambaji Traders","READY"
"2401","INNER PULL HANDLE TOYOTA HIACE, DYNA KF 40/50 BROWN","0","","","1","PCS","Ambaji Traders","READY"
"2431","ARM REST HANDLE TOYOTA CRESSIDA MAROON","0","","","1","PCS","Ambaji Traders","READY"
"2463","GRIP ASSIST (ROOF) HANDLE (WITHOUT HANGER) TOYOTA COROLLA ETC","0","","","1","Pcs","Ambaji Traders","READY"
"2482","BONNET HANDLE M.BENZ MP4, MP5 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"2487","BONNET HANDLE TAATRA TRUCK","0","","","1","Pcs","Ambaji Traders","READY"
"2502","DOOR LOCK KNOB TOYOTA  HILUX 25","0","","","1","PCS","Ambaji Traders","READY"
"2523","DOOR LOCK KNOB WASHER TYPE-II TOYOTA CRESSIDA","0","","","1","PCS","Ambaji Traders","READY"
"2925","BONNET HINGES TOYOTA  VENTURE KIJANG ZACE ETC.","0","","","1","Pcs","Ambaji Traders","READY"
"2955","DOOR HINGES (UPPER+ LOWER) VOLVO FH4 TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"2959","DOOR HINGES MBENZ MP3 TRUCK, MEGA SPACE","-0.01","","","1","Pcs","Ambaji Traders","READY"
"2966","DOOR HINGE UPPER (LH - RH) M.BENZ MP4 ACTROS TRUCK","0","","","1","PCS","Ambaji Traders","READY"
"2967","DOOR HINGES LOWER LH-RH MBENZ MP4 ACTROS, TRUCK","-0.02","","","1","Pcs","Ambaji Traders","READY"
"3113R","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 REAR","0","","","1","Pcs","Ambaji Traders","READY"
"3113F","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 FRONT","0","","","1","Pcs","Ambaji Traders","READY"
"3113FL","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 FRONT LH","0","","","1","Pcs","Ambaji Traders","READY"
"3113FR","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 FRONT RH","0","","","1","Pcs","Ambaji Traders","READY"
"3113RL","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 REAR LH","0","","","1","Pcs","Ambaji Traders","READY"
"3113RR","DOOR LOCK ASSY TOYOTA ZACE KIJANG KF 40/50 REAR RH","0","","","1","Pcs","Ambaji Traders","READY"
"3121","DOOR LOCK ASSY TOYOTA KIJANG KF-20","0","","","1","Pcs","Ambaji Traders","READY"
"3121R","DOOR LOCK ASSY TOYOTA KIJANG KF-20 RH","0","","","1","Pcs","Ambaji Traders","READY"
"3122R","DOOR LOCK ASSY. TOYOTA CRESSIDA C/D 76~80’","0","","","1","Pcs","Ambaji Traders","READY"
"3204Y","REAR GATE HANDLE TOYOTA HILUX YELLOW","0","","","1","Pcs","Ambaji Traders","READY"
"3308","WINDOW REGULATOR ASSY. TOYOTA DYNA W-95,84~86 (BU-60)","0","","","1","Pcs","Ambaji Traders","READY"
"3310","WINDOW REGULATOR ASSY. TOYOTA  HILUX RN-85","0","","","1","Pcs","Ambaji Traders","READY"
"3310L","WINDOW REGULATOR ASSY. TOYOTA  HILUX RN-85 LH","0","","","1","Pcs","Ambaji Traders","READY"
"3310R","WINDOW REGULATOR ASSY. TOYOTA  HILUX RN-85 RH","0","","","1","Pcs","Ambaji Traders","READY"
"3316","WINDOW REGULATOR ASSY. TOYOTA HILUX RN-50/55, ‘84-86’","0","","","1","Pcs","Ambaji Traders","READY"
"3316L","WINDOW REGULATOR ASSY. TOYOTA HILUX RN-50/55, ‘84-86’ LH","0","","","1","Pcs","Ambaji Traders","READY"
"3316R","WINDOW REGULATOR ASSY. TOYOTA HILUX RN-50/55, ‘84-86 RH","0","","","1","Pcs","Ambaji Traders","READY"
"3319L","WINDOW REGULATOR ASSY. TOYOTA COROLLA 83’ AE-80 LH","0","","","1","Pcs","Ambaji Traders","READY"
"3323","WINDOW REGULATOR ASSY TOYOTA KIJANG  KE-70/KE-75/KE-85","0","","","1","Pcs","Ambaji Traders","READY"
"3323L","WINDOW REGULATOR ASSY TOYOTA KIJANG  KE-70/KE-75/KE-85 LH","0","","","1","Pcs","Ambaji Traders","READY"
"3323R","WINDOW REGULATOR ASSY TOYOTA KIJANG  KE-70/KE-75/KE-85 RH","0","","","1","Pcs","Ambaji Traders","READY"
"3333R","WINDOW REG FRONT HYUNDAI ATOZ MANUA","0","","","1","PCS","Ambaji Traders","READY"
"3334L","WINDOW REG REAR HYUNDAI ATOZ MANUAL","0","","","1","PCS","Ambaji Traders","READY"
"3334R","WINDOW REG REAR HYUNDAI ATOZ MANUA","0","","","1","PCS","Ambaji Traders","READY"
"3361R","WINDOW REGULATOR ASSY.  TOYOTA HILUX “82~89” REAR","0","","","1","Pcs","Ambaji Traders","READY"
"3385L","WINDOW REGULATOR ASSY.POWER VOLVO FL","0","","","1","Pcs","Ambaji Traders","READY"
"3385R","WINDOW REGULATOR ASSY. POWER VOLVO FR","0","","","1","Pcs","Ambaji Traders","READY"
"3475","BATTERY BOX LATCH WITH LOCK & KEYS MBENZ TRUCK","0","","","1","PCS","Ambaji Traders","READY"
