sourceId,sku,name,brand,categoryName,oeCode,hsn,gst,moq,uom,sourcePrice,source_rate,mrp,selling_price,statusSource,vehicleTypes,imageUrl,localImagePath,imageStatus,validationStatus,sourceUrl,firm
"P13287","101","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC BLACK","Factory 1","WINDOW REGULATOR HANDLES","","","18","1","Pcs","25","25","","25","Live","FIAT; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/101.png?v=1393","data/source-catalogue/images/101.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13288","102","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC GREY","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","","","18","1","Pcs","29","29","","29","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/102.png?v=1393","data/source-catalogue/images/102.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13289","103","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC BLACK","Factory 1","WINDOW REGULATOR HANDLES","#8296082100281","","18","1","Pcs","26","26","","26","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/103.png?v=1393","data/source-catalogue/images/103.png","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13290","104","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC GREY","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","#8296082100281","","18","1","Pcs","29","29","","29","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/104.jpg?v=1393","data/source-catalogue/images/104.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13291","105","R.G. HANDLE METAL ,GREY CANTER ,SUZUKI , TOYOTA ETC.","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","","","18","1","Pcs","76","76","","76","Live","LCV'S; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/105.jpg?v=1393","data/source-catalogue/images/105.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13292","106","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA METAL BLACK","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","","","18","1","Pcs","76","76","","76","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/106.jpg?v=1393","data/source-catalogue/images/106.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13293","107","RG HANDLE VAN, CAR,CANTER,QUALIS,DYNA,GYPSY WITH METAL CHROME","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","","","18","1","Pcs","86","86","","86","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/107.jpg?v=1393","data/source-catalogue/images/107.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9361","0108,M10","DOOR OUTER HANDLE MM-540, VAN, GYPSY ETC","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#9082810080102","","18","1","Pcs","79","79","","79","Live","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/108.jpg?v=1393","data/source-catalogue/images/0108_M10.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9364","00109L","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#692304012070","87089900","18","1","Pcs","146","146","","146","Live","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/109.jpg?v=1393","data/source-catalogue/images/00109L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9365","00109R","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#692304012070","87089900","18","1","Pcs","146","146","","146","Live","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/109RH.jpg?v=1393","data/source-catalogue/images/00109R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9362","00110L","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL CP LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#783102078000","87089900","18","1","Pcs","166","166","","166","Live","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/110.jpg?v=1393","data/source-catalogue/images/00110L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9363","00110R","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL CP RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#783102078000","87089900","18","1","Pcs","166","166","","166","Live","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/110.jpg?v=1393","data/source-catalogue/images/00110R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9012","0111L,M10","OUTER HANDLE CAR,SUMO,ACE,MAGIC,MEGA ACE,GC-1000 LH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#8281020,#82001019","","18","1","Pcs","63","63","","63","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA CAR; TATA LCV","https://onlineautohandles.com/product-images/111.jpg?v=1393","data/source-catalogue/images/0111L_M10.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9013","0111R,M10","OUTER HANDLE CAR,SUMO,ACE,MAGIC,MEGA ACE,GC-1000 RH","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#8281020,#82001019","","18","1","Pcs","63","63","","63","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA LCV; TATA CAR","https://onlineautohandles.com/product-images/111.jpg?v=1393","data/source-catalogue/images/0111R_M10.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9010","00112L","OUTER HANDLE CAR,SUMO,ACE,MAGIC,GC-1000 METAL LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","153","153","","153","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA LCV; TATA CAR","https://onlineautohandles.com/product-images/112.jpg?v=1393","data/source-catalogue/images/00112L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9011","00112R","OUTER HANDLE CAR,SUMO,ACE,MAGIC,GC-1000 METAL RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","153","153","","153","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA LCV; TATA CAR","https://onlineautohandles.com/product-images/112.jpg?v=1393","data/source-catalogue/images/00112R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9008","00113L","DOOR OUTER HANDLE CAR,SUMO,ACE,MAGIC,GC-1000 METAL CP LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","166","166","","166","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA LCV; TATA CAR","https://onlineautohandles.com/product-images/113.jpg?v=1393","data/source-catalogue/images/00113L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9009","00113R","DOOR OUTER HANDLE CAR,SUMO,ACE,MAGIC,GC-1000 METAL CP RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","","87089900","18","1","Pcs","166","166","","166","Live","MAHINDRA; MARUTI SUZUKI (CAR); TATA LCV; TATA CAR","https://onlineautohandles.com/product-images/113.jpg?v=1393","data/source-catalogue/images/00113R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9331","0114,M20","OUTER SLIDING HANDLE PLASTIC VAN","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","#7833079500","","18","1","Pcs","50","50","","50","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/114.jpg?v=1393","data/source-catalogue/images/0114_M20.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13294","115","OUTER SLIDING HANDLE  METAL VAN","Factory 2","OUTSIDE DOOR HANDLE","","","18","1","Pcs","96","96","","96","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/115.jpg?v=1393","data/source-catalogue/images/115.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P13295","116","OUTER SLIDING HANDLE METAL CHROME VAN","Factory 2","OUTSIDE DOOR HANDLE","","","18","1","Pcs","116","116","","116","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/116.jpg?v=1393","data/source-catalogue/images/116.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9510","0117L","INNER SLIDING DOOR HANDLE BLACK VAN LH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","#78440M79690-P42 LH","83012000","18","1","Pcs","45","45","","45","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/117.jpg?v=1393","data/source-catalogue/images/0117L.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
"P9509","0117R","INNER SLIDING DOOR HANDLE BLACK VAN RH","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","#78430M79690-P42 RH","83012000","18","1","Pcs","45","45","","45","Live","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/product-images/117.jpg?v=1393","data/source-catalogue/images/0117R.jpg","downloaded","READY","https://onlineautohandles.com/b2b",""
