part_number,part_name,description,brand,category,sku,hsn,gst,moq,uom,source_rate,mrp,selling_price,oem_number,vehicle_make,source_url,source_image_url,validation_status,firm
"101","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC BLACK","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC BLACK","Factory 1","WINDOW REGULATOR HANDLES","101","","18","1","Pcs","25","","25","","FIAT; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/101.png?v=1393","READY","Ambaji Traders"
"102","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC GREY","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA PVC GREY","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","102","","18","1","Pcs","29","","29","","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/102.png?v=1393","READY","Ambaji Traders"
"103","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC BLACK","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC BLACK","Factory 1","WINDOW REGULATOR HANDLES","103","","18","1","Pcs","26","","26","#8296082100281","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/103.png?v=1393","READY","Ambaji Traders"
"104","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC GREY","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA SUPER PVC GREY","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","104","","18","1","Pcs","29","","29","#8296082100281","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/104.jpg?v=1393","READY","Ambaji Traders"
"105","R.G. HANDLE METAL ,GREY CANTER ,SUZUKI , TOYOTA ETC.","R.G. HANDLE METAL ,GREY CANTER ,SUZUKI , TOYOTA ETC.","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","105","","18","1","Pcs","76","","76","","LCV'S; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/105.jpg?v=1393","READY","Ambaji Traders"
"106","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA METAL BLACK","R.G.HANDLE VAN,CAR,GYPSY,QUALIS,CANTER O/M,DYNA METAL BLACK","CI AUTOMOTIVE LLP","WINDOW REGULATOR HANDLES","106","","18","1","Pcs","76","","76","","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/106.jpg?v=1393","READY","Ambaji Traders"
"107","RG HANDLE VAN, CAR,CANTER,QUALIS,DYNA,GYPSY WITH METAL CHROME","RG HANDLE VAN, CAR,CANTER,QUALIS,DYNA,GYPSY WITH METAL CHROME","CI AUTOMOTIVE LLP","INSIDE DOOR HANDLE","107","","18","1","Pcs","86","","86","","MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/107.jpg?v=1393","READY","Ambaji Traders"
"0108,M10","DOOR OUTER HANDLE MM-540, VAN, GYPSY ETC","DOOR OUTER HANDLE MM-540, VAN, GYPSY ETC","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","0108,M10","","18","1","Pcs","79","","79","#9082810080102","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/108.jpg?v=1393","READY","Ambaji Traders"
"00109L","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL LEFT","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL LEFT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","00109L","87089900","18","1","Pcs","146","","146","#692304012070","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/109.jpg?v=1393","READY","Ambaji Traders"
"00109R","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL RIGHT","DOOR OUTER HANDLE VAN,GYPSY,MM-540 METAL RIGHT","CI AUTOMOTIVE LLP","OUTSIDE DOOR HANDLE","00109R","87089900","18","1","Pcs","146","","146","#692304012070","MAHINDRA; MARUTI SUZUKI (CAR)","https://onlineautohandles.com/b2b","https://onlineautohandles.com/product-images/109RH.jpg?v=1393","READY","Ambaji Traders"
